Order ID,Order Date,Region,City,Segment,Ship Mode,Category,Sub-Category,Product Name,Sales Rep,Customer Name,Quantity,Unit Price,Discount,Sales,Cost,Profit,Profit Margin
ORD-2024-2446,2024-02-17,South,Charlotte,Corporate,Standard Class,Office Supplies,Art,Marker Set,Hiro Tanaka,Robert Johnson,6,14.61,0.05,83.28,38.22,45.06,0.5411
ORD-2024-1861,2024-02-20,West,Los Angeles,Consumer,Standard Class,Office Supplies,Paper,Premium Copy Paper (case),Daniel Reyes,Michael Lee,2,34.24,0.2,54.78,38.64,16.14,0.2946
ORD-2024-2555,2024-02-28,East,Newark,Consumer,Standard Class,Technology,Machines,Laser Printer Pro,Ben Torres,Linda Kim,5,467.29,0.0,2336.45,1710.88,625.57,0.2677
ORD-2024-1619,2024-03-02,East,Boston,Corporate,First Class,Furniture,Tables,Round Meeting Table,Ben Torres,Mary Davis,1,278.93,0.1,251.04,173.46,77.58,0.309
ORD-2024-1455,2024-03-06,Central,Houston,Home Office,Standard Class,Technology,Machines,Label Maker,Fatima Noor,Sofia Garcia,2,63.68,0.15,108.26,71.42,36.84,0.3403
ORD-2024-1905,2024-03-11,Central,Minneapolis,Home Office,Second Class,Technology,Copiers,Compact Copier,Ethan Osei,Linda Williams,3,744.42,0.15,1898.27,1479.29,418.98,0.2207
ORD-2024-1950,2024-03-12,South,Charlotte,Consumer,Standard Class,Furniture,Chairs,Ergo Mesh Office Chair,Hiro Tanaka,John Lewis,12,200.24,0.0,2402.88,1421.89,980.99,0.4083
ORD-2024-2502,2024-03-15,South,Charlotte,Consumer,Second Class,Office Supplies,Storage,Rolling File Cart,Hiro Tanaka,Wei Brown,9,86.54,0.05,739.92,535.94,203.98,0.2757
ORD-2024-2401,2024-03-16,Central,Chicago,Corporate,Same Day,Technology,Phones,Business Smartphone X2,Fatima Noor,Jennifer Kim,2,623.79,0.0,1247.58,945.35,302.23,0.2423
ORD-2024-1381,2024-03-16,Central,Houston,Corporate,Standard Class,Office Supplies,Storage,File Storage Box,Ethan Osei,Liam Martinez,3,21.41,0.0,64.23,36.67,27.56,0.4291
ORD-2024-1893,2024-03-23,Central,Houston,Consumer,Standard Class,Technology,Accessories,Wireless Mouse,Ethan Osei,Elizabeth Johnson,4,28.28,0.15,96.15,58.26,37.89,0.3941
ORD-2024-2485,2024-03-25,South,Charlotte,Consumer,Standard Class,Office Supplies,Paper,Sticky Notes Pack,Grace Lin,Liam Kim,3,9.24,0.0,27.72,11.16,16.56,0.5974
ORD-2024-1080,2024-03-25,West,San Diego,Consumer,Standard Class,Office Supplies,Storage,File Storage Box,Daniel Reyes,Mary Jones,1,22.67,0.1,20.4,11.71,8.69,0.426
ORD-2024-1419,2024-03-26,West,San Diego,Home Office,Second Class,Furniture,Bookcases,5-Shelf Bookcase,Daniel Reyes,Patricia Davis,1,155.0,0.1,139.5,94.72,44.78,0.321
ORD-2024-1931,2024-03-30,West,San Diego,Consumer,Second Class,Office Supplies,Supplies,Stapler Heavy Duty,Daniel Reyes,David Rodriguez,5,20.21,0.1,90.94,47.95,42.99,0.4727
ORD-2024-1833,2024-03-30,South,Atlanta,Corporate,First Class,Office Supplies,Storage,Rolling File Cart,Hiro Tanaka,Linda Rodriguez,2,85.1,0.05,161.69,112.97,48.72,0.3013
ORD-2024-1985,2024-04-02,Central,Minneapolis,Home Office,Standard Class,Technology,Machines,Laser Printer Pro,Fatima Noor,Olivia Martinez,4,450.3,0.0,1801.2,1425.69,375.51,0.2085
ORD-2024-1890,2024-04-02,West,Seattle,Corporate,Same Day,Technology,Machines,Label Maker,Daniel Reyes,Michael Jones,10,62.04,0.1,558.36,362.48,195.88,0.3508
ORD-2024-2060,2024-04-02,West,Los Angeles,Home Office,Standard Class,Technology,Phones,Wireless Office Headset,Daniel Reyes,Olivia Lewis,2,129.0,0.0,258.0,159.56,98.44,0.3816
ORD-2024-2387,2024-04-03,Central,Chicago,Consumer,First Class,Office Supplies,Paper,Premium Copy Paper (case),Fatima Noor,Wei Garcia,5,35.99,0.2,143.96,96.68,47.28,0.3284
ORD-2024-1133,2024-04-03,West,San Francisco,Corporate,Second Class,Office Supplies,Supplies,Scissors Set,Chloe Zhang,John Clark,1,8.46,0.2,6.77,4.04,2.73,0.4032
ORD-2024-1740,2024-04-04,South,Charlotte,Corporate,Second Class,Furniture,Tables,Adjustable Standing Desk,Grace Lin,Michael Rodriguez,1,438.99,0.0,438.99,278.99,160.0,0.3645
ORD-2024-1583,2024-04-06,West,San Diego,Consumer,Second Class,Office Supplies,Supplies,Stapler Heavy Duty,Chloe Zhang,James Chen,4,19.9,0.0,79.6,37.8,41.8,0.5251
ORD-2024-2056,2024-04-06,East,Philadelphia,Consumer,Standard Class,Technology,Copiers,All-in-One Copier,Aisha Kumar,John Khan,3,1392.29,0.0,4176.87,3413.59,763.28,0.1827
ORD-2024-1362,2024-04-08,East,New York,Consumer,Standard Class,Technology,Accessories,USB-C Hub,Aisha Kumar,Emma Martinez,2,39.98,0.0,79.96,49.44,30.52,0.3817
ORD-2024-1427,2024-04-10,South,Charlotte,Corporate,First Class,Technology,Copiers,Compact Copier,Hiro Tanaka,Olivia Lewis,7,753.79,0.05,5012.7,3857.46,1155.24,0.2305
ORD-2024-1271,2024-04-11,Central,Chicago,Consumer,Standard Class,Office Supplies,Storage,Rolling File Cart,Ethan Osei,Olivia Silva,6,84.63,0.2,406.22,315.63,90.59,0.223
ORD-2024-2440,2024-04-11,East,Boston,Corporate,Standard Class,Office Supplies,Paper,Sticky Notes Pack,Aisha Kumar,Michael Rodriguez,1,8.81,0.15,7.49,3.44,4.05,0.5407
ORD-2024-2381,2024-04-13,South,Nashville,Corporate,Standard Class,Technology,Accessories,USB-C Hub,Grace Lin,Michael Singh,7,39.08,0.05,259.88,159.73,100.15,0.3854
ORD-2024-2254,2024-04-13,West,San Francisco,Consumer,Second Class,Office Supplies,Binders,Heavy-Duty 3-Ring Binder,Daniel Reyes,Patricia Jones,1,12.93,0.0,12.93,5.8,7.13,0.5514
ORD-2024-2256,2024-04-13,East,Philadelphia,Corporate,Standard Class,Technology,Phones,Wireless Office Headset,Ben Torres,Patricia Garcia,1,137.73,0.2,110.18,86.49,23.69,0.215
ORD-2024-1420,2024-04-14,East,Newark,Corporate,First Class,Furniture,Furnishings,Wall Clock,Aisha Kumar,Mary Miller,1,25.27,0.05,24.01,13.52,10.49,0.4369
ORD-2024-1452,2024-04-14,West,Seattle,Corporate,Second Class,Furniture,Tables,Conference Table 8ft,Chloe Zhang,Carlos Miller,4,936.85,0.1,3372.66,2665.99,706.67,0.2095
ORD-2024-1142,2024-04-14,East,Newark,Home Office,Second Class,Office Supplies,Storage,File Storage Box,Aisha Kumar,Priya Williams,7,23.32,0.0,163.24,93.2,70.04,0.4291
ORD-2024-1836,2024-04-15,West,San Francisco,Consumer,Standard Class,Technology,Machines,Laser Printer Pro,Daniel Reyes,Carlos Lewis,3,438.14,0.0,1314.42,949.41,365.01,0.2777
ORD-2024-1110,2024-04-15,East,New York,Consumer,Same Day,Office Supplies,Art,Marker Set,Ben Torres,Robert Lee,3,15.13,0.1,40.85,20.11,20.74,0.5077
ORD-2024-2024,2024-04-15,East,New York,Consumer,Second Class,Technology,Phones,Business Smartphone X2,Ben Torres,Mateo Miller,1,576.17,0.1,518.55,449.34,69.21,0.1335
ORD-2024-2098,2024-04-16,East,Philadelphia,Consumer,Same Day,Technology,Phones,Business Smartphone X2,Aisha Kumar,Elizabeth Johnson,1,578.76,0.1,520.88,437.25,83.63,0.1606
ORD-2024-2166,2024-04-18,East,Philadelphia,Corporate,Standard Class,Office Supplies,Paper,Sticky Notes Pack,Ben Torres,Sofia Clark,3,8.8,0.15,22.44,10.45,11.99,0.5343
ORD-2024-2067,2024-04-19,Central,Dallas,Consumer,Standard Class,Technology,Phones,Business Smartphone X2,Ethan Osei,Olivia Lewis,2,572.7,0.05,1088.13,867.02,221.11,0.2032
ORD-2024-1987,2024-04-20,Central,Houston,Corporate,Second Class,Technology,Machines,Label Maker,Ethan Osei,Patricia Kim,4,56.36,0.2,180.35,127.0,53.35,0.2958
ORD-2024-1079,2024-04-22,Central,Chicago,Consumer,Second Class,Technology,Machines,Laser Printer Pro,Fatima Noor,Jennifer Jones,3,449.94,0.0,1349.82,1089.22,260.6,0.1931
ORD-2024-1851,2024-04-22,East,New York,Corporate,Standard Class,Technology,Accessories,USB-C Hub,Ben Torres,Priya Jones,2,38.05,0.2,60.88,43.01,17.87,0.2935
ORD-2024-2382,2024-04-23,West,San Diego,Corporate,First Class,Office Supplies,Binders,Presentation Binder Set,Chloe Zhang,Noah Khan,8,18.48,0.0,147.84,76.37,71.47,0.4834
ORD-2024-1816,2024-04-23,South,Miami,Home Office,First Class,Office Supplies,Art,Sketch Pad Pro,Grace Lin,Robert Lee,3,10.97,0.1,29.62,14.88,14.74,0.4976
ORD-2024-1557,2024-04-24,East,New York,Consumer,Second Class,Furniture,Chairs,Stackable Guest Chair,Aisha Kumar,David Davis,2,91.7,0.1,165.06,100.47,64.59,0.3913
ORD-2024-2125,2024-04-29,East,Newark,Consumer,Second Class,Office Supplies,Art,Sketch Pad Pro,Aisha Kumar,Sofia Khan,5,10.6,0.0,53.0,25.52,27.48,0.5185
ORD-2024-1741,2024-04-29,South,Charlotte,Corporate,First Class,Technology,Copiers,All-in-One Copier,Hiro Tanaka,Jennifer Smith,5,1401.08,0.0,7005.4,5851.97,1153.43,0.1646
ORD-2024-1798,2024-04-30,South,Charlotte,Corporate,Standard Class,Technology,Phones,Business Smartphone X2,Hiro Tanaka,Michael Rodriguez,1,598.13,0.0,598.13,476.97,121.16,0.2026
ORD-2024-2482,2024-05-01,South,Nashville,Home Office,Same Day,Office Supplies,Art,Sketch Pad Pro,Hiro Tanaka,Carlos Brown,3,10.73,0.0,32.19,15.25,16.94,0.5263
ORD-2024-2317,2024-05-02,East,Philadelphia,Consumer,Standard Class,Furniture,Chairs,Executive Leather Chair,Ben Torres,David Rodriguez,2,355.54,0.1,639.97,409.95,230.02,0.3594
ORD-2024-1471,2024-05-06,South,Charlotte,Consumer,Standard Class,Office Supplies,Paper,Sticky Notes Pack,Grace Lin,Wei Nguyen,1,8.81,0.2,7.05,3.45,3.6,0.5106
ORD-2024-2175,2024-05-06,East,New York,Consumer,Standard Class,Technology,Machines,Label Maker,Aisha Kumar,Liam Lewis,2,59.41,0.0,118.82,78.42,40.4,0.34
ORD-2024-1187,2024-05-07,Central,Dallas,Consumer,Second Class,Technology,Phones,Business Smartphone X2,Fatima Noor,Priya Chen,1,574.02,0.1,516.62,450.64,65.98,0.1277
ORD-2024-2560,2024-05-09,South,Miami,Corporate,First Class,Office Supplies,Supplies,Scissors Set,Grace Lin,Olivia Singh,6,7.62,0.2,36.58,22.77,13.81,0.3775
ORD-2024-1041,2024-05-09,Central,Houston,Home Office,First Class,Office Supplies,Art,Marker Set,Ethan Osei,Liam Clark,3,14.99,0.0,44.97,23.02,21.95,0.4881
ORD-2024-1431,2024-05-10,South,Nashville,Consumer,Second Class,Technology,Copiers,Compact Copier,Hiro Tanaka,Olivia Singh,5,710.09,0.05,3372.93,2421.47,951.46,0.2821
ORD-2024-1388,2024-05-12,Central,Minneapolis,Corporate,First Class,Technology,Accessories,Wireless Mouse,Fatima Noor,David Khan,2,28.45,0.0,56.9,31.32,25.58,0.4496
ORD-2024-1034,2024-05-15,South,Nashville,Consumer,First Class,Technology,Phones,Wireless Office Headset,Hiro Tanaka,Olivia Smith,10,127.56,0.05,1211.82,789.41,422.41,0.3486
ORD-2024-2159,2024-05-17,South,Miami,Consumer,Standard Class,Technology,Copiers,Compact Copier,Grace Lin,Noah Clark,1,668.9,0.1,602.01,452.48,149.53,0.2484
ORD-2024-1275,2024-05-17,West,Seattle,Home Office,Second Class,Office Supplies,Art,Marker Set,Chloe Zhang,Patricia Smith,1,15.93,0.05,15.13,8.17,6.96,0.46
ORD-2024-1075,2024-05-18,Central,Minneapolis,Home Office,Standard Class,Office Supplies,Art,Marker Set,Fatima Noor,Patricia Singh,4,14.67,0.05,55.75,29.05,26.7,0.4789
ORD-2024-1230,2024-05-19,East,Boston,Corporate,Second Class,Office Supplies,Art,Sketch Pad Pro,Ben Torres,James Johnson,2,11.49,0.2,18.38,9.64,8.74,0.4755
ORD-2024-2232,2024-05-19,South,Charlotte,Home Office,Standard Class,Office Supplies,Storage,Rolling File Cart,Grace Lin,Mary Rodriguez,5,84.93,0.05,403.42,264.28,139.14,0.3449
ORD-2024-2136,2024-05-21,Central,Minneapolis,Consumer,Second Class,Technology,Copiers,All-in-One Copier,Fatima Noor,Robert Brown,6,1243.08,0.05,7085.56,5661.56,1424.0,0.201
ORD-2024-2276,2024-05-21,West,San Diego,Corporate,Second Class,Office Supplies,Storage,File Storage Box,Chloe Zhang,Carlos Silva,2,21.17,0.0,42.34,21.92,20.42,0.4823
ORD-2024-2345,2024-05-21,West,Seattle,Corporate,Second Class,Office Supplies,Storage,File Storage Box,Chloe Zhang,David Chen,2,22.18,0.05,42.14,23.4,18.74,0.4447
ORD-2024-1820,2024-05-21,South,Nashville,Home Office,Standard Class,Office Supplies,Binders,Presentation Binder Set,Hiro Tanaka,Noah Lee,2,19.19,0.0,38.38,19.24,19.14,0.4987
ORD-2024-2216,2024-05-23,West,San Francisco,Consumer,Standard Class,Office Supplies,Supplies,Stapler Heavy Duty,Daniel Reyes,Noah Lewis,3,18.05,0.05,51.44,27.04,24.4,0.4743
ORD-2024-1712,2024-05-24,South,Atlanta,Consumer,Standard Class,Technology,Accessories,Wireless Mouse,Hiro Tanaka,Sofia Smith,4,31.28,0.0,125.12,64.83,60.29,0.4819
ORD-2024-1873,2024-05-24,Central,Minneapolis,Corporate,Standard Class,Technology,Machines,Label Maker,Ethan Osei,John Patel,1,57.09,0.0,57.09,37.4,19.69,0.3449
ORD-2024-2496,2024-05-24,West,Los Angeles,Consumer,Standard Class,Technology,Phones,Wireless Office Headset,Chloe Zhang,Mateo Martinez,3,128.24,0.0,384.72,270.33,114.39,0.2973
ORD-2024-1902,2024-05-24,South,Miami,Corporate,First Class,Office Supplies,Storage,Rolling File Cart,Hiro Tanaka,Carlos Brown,4,89.78,0.05,341.16,224.42,116.74,0.3422
ORD-2024-1067,2024-05-26,South,Charlotte,Consumer,Standard Class,Office Supplies,Art,Sketch Pad Pro,Hiro Tanaka,David Clark,2,11.36,0.05,21.58,10.31,11.27,0.5222
ORD-2024-2449,2024-05-26,Central,Dallas,Consumer,Same Day,Technology,Accessories,Wireless Mouse,Fatima Noor,Priya Miller,3,30.36,0.3,63.76,47.47,16.29,0.2555
ORD-2024-2007,2024-05-26,Central,Minneapolis,Consumer,Same Day,Technology,Copiers,All-in-One Copier,Ethan Osei,Mateo Nguyen,1,1277.99,0.0,1277.99,987.66,290.33,0.2272
ORD-2024-1206,2024-05-27,South,Atlanta,Consumer,Standard Class,Technology,Phones,Wireless Office Headset,Grace Lin,Robert Lee,4,126.54,0.3,354.31,273.34,80.97,0.2285
ORD-2024-1517,2024-05-27,West,Seattle,Corporate,Standard Class,Technology,Machines,Laser Printer Pro,Chloe Zhang,Noah Clark,6,438.76,0.0,2632.56,1957.7,674.86,0.2564
ORD-2024-2058,2024-05-28,West,San Diego,Home Office,Second Class,Office Supplies,Storage,File Storage Box,Daniel Reyes,Elizabeth Lewis,2,23.0,0.05,43.7,24.05,19.65,0.4497
ORD-2024-2493,2024-05-28,West,Los Angeles,Corporate,Standard Class,Furniture,Bookcases,Corner Bookcase,Daniel Reyes,David Chen,4,176.63,0.05,671.19,440.59,230.6,0.3436
ORD-2024-1719,2024-05-28,East,Newark,Home Office,Standard Class,Technology,Machines,Laser Printer Pro,Aisha Kumar,Wei Williams,4,439.53,0.0,1758.12,1365.12,393.0,0.2235
ORD-2024-1968,2024-05-28,Central,Houston,Consumer,Standard Class,Furniture,Chairs,Stackable Guest Chair,Ethan Osei,Patricia Jones,1,89.74,0.0,89.74,46.93,42.81,0.477
ORD-2024-1877,2024-05-29,Central,Houston,Corporate,First Class,Office Supplies,Storage,File Storage Box,Fatima Noor,Wei Rodriguez,3,22.3,0.0,66.9,33.32,33.58,0.5019
ORD-2024-2162,2024-06-01,West,San Francisco,Consumer,First Class,Office Supplies,Supplies,Scissors Set,Chloe Zhang,David Smith,1,8.1,0.1,7.29,4.0,3.29,0.4513
ORD-2024-1146,2024-06-02,Central,Dallas,Consumer,Standard Class,Office Supplies,Storage,Rolling File Cart,Ethan Osei,Olivia Silva,2,93.03,0.05,176.76,118.49,58.27,0.3297
ORD-2024-2598,2024-06-05,Central,Minneapolis,Corporate,Second Class,Furniture,Bookcases,Corner Bookcase,Fatima Noor,Mateo Martinez,1,180.51,0.3,126.36,103.08,23.28,0.1842
ORD-2024-2436,2024-06-05,West,Los Angeles,Consumer,Second Class,Furniture,Bookcases,5-Shelf Bookcase,Chloe Zhang,Noah Williams,2,145.42,0.05,276.3,173.35,102.95,0.3726
ORD-2024-2226,2024-06-07,South,Charlotte,Corporate,Standard Class,Technology,Phones,Wireless Office Headset,Grace Lin,Jennifer Chen,11,133.73,0.0,1471.03,971.45,499.58,0.3396
ORD-2024-1829,2024-06-08,East,New York,Home Office,Second Class,Office Supplies,Art,Sketch Pad Pro,Ben Torres,Sofia Johnson,4,11.69,0.0,46.76,22.09,24.67,0.5276
ORD-2024-1888,2024-06-10,East,Philadelphia,Corporate,Second Class,Office Supplies,Art,Marker Set,Aisha Kumar,Sofia Silva,1,14.85,0.0,14.85,6.85,8.0,0.5387
ORD-2024-1845,2024-06-11,South,Nashville,Corporate,Standard Class,Furniture,Bookcases,Corner Bookcase,Hiro Tanaka,Jennifer Chen,5,181.68,0.0,908.4,597.12,311.28,0.3427
ORD-2024-2207,2024-06-11,South,Charlotte,Consumer,Standard Class,Office Supplies,Art,Marker Set,Grace Lin,Elizabeth Johnson,11,16.11,0.1,159.49,88.55,70.94,0.4448
ORD-2024-1044,2024-06-12,South,Charlotte,Consumer,Standard Class,Office Supplies,Supplies,Stapler Heavy Duty,Grace Lin,Michael Miller,5,18.73,0.1,84.29,47.23,37.06,0.4397
ORD-2024-1910,2024-06-13,East,Newark,Corporate,Second Class,Technology,Phones,Wireless Office Headset,Aisha Kumar,Wei Williams,3,130.2,0.05,371.07,248.3,122.77,0.3309
ORD-2024-2192,2024-06-13,West,Los Angeles,Consumer,Standard Class,Technology,Accessories,Wireless Mouse,Daniel Reyes,Noah Brown,1,31.22,0.2,24.98,15.96,9.02,0.3611
ORD-2024-1972,2024-06-13,West,San Diego,Consumer,Standard Class,Technology,Machines,Label Maker,Daniel Reyes,James Brown,2,62.37,0.05,118.5,78.42,40.08,0.3382
ORD-2024-1035,2024-06-14,West,San Diego,Consumer,Standard Class,Office Supplies,Art,Marker Set,Chloe Zhang,Liam Jones,11,15.29,0.2,134.55,75.85,58.7,0.4363
ORD-2024-1482,2024-06-14,Central,Dallas,Corporate,Standard Class,Technology,Phones,Business Smartphone X2,Fatima Noor,Wei Rodriguez,4,596.65,0.0,2386.6,1951.11,435.49,0.1825
ORD-2024-1209,2024-06-14,Central,Dallas,Home Office,Standard Class,Office Supplies,Binders,Presentation Binder Set,Ethan Osei,Mateo Lewis,7,18.75,0.05,124.69,64.12,60.57,0.4858
ORD-2024-1536,2024-06-15,East,New York,Consumer,Standard Class,Technology,Machines,Laser Printer Pro,Aisha Kumar,Michael Williams,1,428.18,0.0,428.18,317.71,110.47,0.258
ORD-2024-1992,2024-06-15,East,Boston,Consumer,Standard Class,Technology,Phones,Wireless Office Headset,Aisha Kumar,Robert Miller,1,124.44,0.0,124.44,86.97,37.47,0.3011
ORD-2024-1856,2024-06-17,West,San Francisco,Corporate,Standard Class,Technology,Machines,Laser Printer Pro,Daniel Reyes,David Chen,3,450.83,0.05,1284.87,957.09,327.78,0.2551
ORD-2024-2450,2024-06-17,West,San Diego,Consumer,Standard Class,Office Supplies,Binders,Presentation Binder Set,Chloe Zhang,Carlos Jones,7,18.8,0.2,105.28,65.22,40.06,0.3805
ORD-2024-1915,2024-06-17,South,Miami,Corporate,Second Class,Office Supplies,Art,Marker Set,Grace Lin,Michael Smith,7,16.14,0.15,96.03,49.3,46.73,0.4866
ORD-2024-2004,2024-06-20,East,Philadelphia,Consumer,First Class,Technology,Accessories,Wireless Mouse,Aisha Kumar,Michael Miller,1,29.29,0.1,26.36,17.04,9.32,0.3536
ORD-2024-1409,2024-06-21,Central,Chicago,Consumer,Second Class,Office Supplies,Paper,Sticky Notes Pack,Ethan Osei,Michael Smith,1,9.54,0.1,8.59,3.46,5.13,0.5972
ORD-2024-1784,2024-06-21,East,Newark,Home Office,Standard Class,Technology,Machines,Label Maker,Aisha Kumar,Liam Lee,5,61.42,0.1,276.39,177.96,98.43,0.3561
ORD-2024-2573,2024-06-23,Central,Dallas,Consumer,Standard Class,Office Supplies,Binders,Heavy-Duty 3-Ring Binder,Fatima Noor,Linda Williams,7,11.74,0.0,82.18,37.53,44.65,0.5433
ORD-2024-1786,2024-06-23,West,Seattle,Home Office,Standard Class,Furniture,Tables,Round Meeting Table,Chloe Zhang,Elizabeth Jones,4,254.78,0.1,917.21,614.89,302.32,0.3296
ORD-2024-2478,2024-06-24,South,Miami,Consumer,Standard Class,Furniture,Furnishings,LED Desk Lamp,Hiro Tanaka,Sofia Kim,1,38.05,0.15,32.34,19.23,13.11,0.4054
ORD-2024-1751,2024-06-24,East,Boston,Corporate,Standard Class,Office Supplies,Paper,Sticky Notes Pack,Ben Torres,Michael Jones,2,8.99,0.0,17.98,7.08,10.9,0.6062
ORD-2024-1212,2024-06-25,Central,Chicago,Corporate,Standard Class,Technology,Machines,Laser Printer Pro,Fatima Noor,Liam Johnson,1,453.7,0.0,453.7,364.7,89.0,0.1962
ORD-2024-1296,2024-06-26,Central,Minneapolis,Corporate,Second Class,Furniture,Bookcases,5-Shelf Bookcase,Ethan Osei,Priya Lee,3,155.31,0.1,419.34,256.31,163.03,0.3888
ORD-2024-1153,2024-06-26,West,Los Angeles,Consumer,Same Day,Furniture,Tables,Adjustable Standing Desk,Chloe Zhang,Priya Lewis,5,460.8,0.05,2188.8,1580.4,608.4,0.278
ORD-2024-1373,2024-06-26,West,San Diego,Corporate,Standard Class,Furniture,Furnishings,LED Desk Lamp,Daniel Reyes,Elizabeth Nguyen,3,38.65,0.05,110.15,64.47,45.68,0.4147
ORD-2024-1652,2024-06-26,South,Miami,Corporate,Standard Class,Technology,Machines,Laser Printer Pro,Grace Lin,Carlos Johnson,7,480.14,0.0,3360.98,2699.05,661.93,0.1969
ORD-2024-1097,2024-06-30,West,San Francisco,Consumer,Same Day,Technology,Accessories,USB-C Hub,Daniel Reyes,Liam Lewis,1,37.45,0.0,37.45,22.29,15.16,0.4048
ORD-2024-2329,2024-07-01,East,New York,Corporate,Standard Class,Furniture,Chairs,Stackable Guest Chair,Ben Torres,Liam Garcia,1,85.81,0.05,81.52,50.61,30.91,0.3792
ORD-2024-2008,2024-07-01,East,Boston,Consumer,Standard Class,Technology,Phones,Business Smartphone X2,Ben Torres,Mary Davis,5,610.6,0.15,2595.05,2246.12,348.93,0.1345
ORD-2024-2525,2024-07-01,West,Seattle,Corporate,Standard Class,Office Supplies,Supplies,Stapler Heavy Duty,Chloe Zhang,Patricia Williams,2,18.81,0.05,35.74,17.98,17.76,0.4969
ORD-2024-2538,2024-07-02,West,Seattle,Consumer,Standard Class,Office Supplies,Supplies,Stapler Heavy Duty,Daniel Reyes,Michael Davis,5,18.92,0.05,89.87,45.31,44.56,0.4958
ORD-2024-1886,2024-07-02,Central,Minneapolis,Home Office,Second Class,Office Supplies,Art,Marker Set,Fatima Noor,Robert Clark,9,14.67,0.0,132.03,66.4,65.63,0.4971
ORD-2024-2234,2024-07-05,South,Miami,Consumer,Standard Class,Office Supplies,Binders,Heavy-Duty 3-Ring Binder,Hiro Tanaka,Wei Patel,1,12.23,0.05,11.62,5.6,6.02,0.5181
ORD-2024-2471,2024-07-05,East,Boston,Corporate,Standard Class,Furniture,Bookcases,Corner Bookcase,Ben Torres,Emma Nguyen,1,191.15,0.05,181.59,111.17,70.42,0.3878
ORD-2024-1690,2024-07-06,South,Charlotte,Corporate,Standard Class,Office Supplies,Storage,File Storage Box,Hiro Tanaka,Robert Miller,2,23.0,0.2,36.8,22.16,14.64,0.3978
ORD-2024-1763,2024-07-06,South,Miami,Consumer,Second Class,Office Supplies,Binders,Presentation Binder Set,Grace Lin,Patricia Kim,6,17.13,0.0,102.78,52.58,50.2,0.4884
ORD-2024-1632,2024-07-06,West,Seattle,Corporate,First Class,Furniture,Furnishings,LED Desk Lamp,Daniel Reyes,Olivia Lee,1,41.97,0.05,39.87,23.71,16.16,0.4053
ORD-2024-1389,2024-07-06,South,Atlanta,Corporate,First Class,Office Supplies,Supplies,Stapler Heavy Duty,Hiro Tanaka,Michael Brown,13,20.46,0.1,239.38,124.79,114.59,0.4787
ORD-2024-1665,2024-07-06,Central,Minneapolis,Corporate,Standard Class,Office Supplies,Binders,Heavy-Duty 3-Ring Binder,Ethan Osei,Ava Martinez,5,12.22,0.0,61.1,29.98,31.12,0.5093
ORD-2024-1083,2024-07-06,Central,Chicago,Consumer,Second Class,Furniture,Chairs,Executive Leather Chair,Fatima Noor,Ava Chen,3,363.74,0.05,1036.66,718.32,318.34,0.3071
ORD-2024-1912,2024-07-06,South,Charlotte,Home Office,Standard Class,Technology,Machines,Label Maker,Hiro Tanaka,Liam Nguyen,4,62.66,0.0,250.64,155.24,95.4,0.3806
